DATE,TIME,MQ2,MQ3,MQ4,MQ6,MQ7,MQ135,TEMP,HUMI,Average,1323.456022,2604.59134,730.0798376,1375.630582,1506.522327,2269.31935,35.80933694,68.67997294
21/05/2025,22:59:09,1446,2878,885,1399,1614,2430,35.5,67.4,,,,,,,,,
21/05/2025,22:58:58,1444,2882,892,1404,1613,2434,35.5,67.5,,,,,,,,,
21/05/2025,22:58:47,1447,2886,886,1403,1615,2430,35.6,67.5,,,,,,,,,
21/05/2025,22:58:36,1446,2884,889,1399,1607,2434,35.6,67.6,,,,,,,,,
21/05/2025,22:58:26,1449,2886,891,1403,1614,2436,35.6,67.6,,,,,,,,,
21/05/2025,22:58:15,1452,2885,885,1402,1611,2432,35.6,67.6,,,,,,,,,
21/05/2025,22:58:02,1452,2885,887,1407,1612,2434,35.6,67.7,,,,,,,,,
21/05/2025,22:57:51,1448,2886,888,1409,1610,2432,35.6,67.8,,,,,,,,,
21/05/2025,22:57:41,1449,2888,890,1404,1611,2430,35.6,67.9,,,,,,,,,
21/05/2025,22:57:30,1448,2887,889,1409,1607,2428,35.7,68,,,,,,,,,
21/05/2025,22:57:18,1450,2890,891,1415,1608,2429,35.7,68,,,,,,,,,
21/05/2025,22:57:08,1453,2894,894,1410,1608,2425,35.7,68,,,,,,,,,
21/05/2025,22:56:56,1454,2896,892,1414,1608,2434,35.7,68.1,,,,,,,,,
21/05/2025,22:56:44,1455,2895,886,1414,1607,2431,35.7,68.3,,,,,,,,,
21/05/2025,22:56:33,1452,2894,887,1420,1605,2429,35.8,68.4,,,,,,,,,
21/05/2025,22:56:22,1451,2897,889,1414,1602,2427,35.8,68.5,,,,,,,,,
21/05/2025,22:56:11,1456,2903,886,1423,1598,2431,35.8,68.6,,,,,,,,,
21/05/2025,22:56:01,1458,2902,893,1415,1604,2433,35.9,68.7,,,,,,,,,
21/05/2025,22:55:49,1453,2909,899,1430,1606,2434,35.9,68.8,,,,,,,,,
21/05/2025,22:55:38,1459,2905,898,1422,1603,2432,35.9,68.8,,,,,,,,,
21/05/2025,22:55:25,1459,2914,896,1431,1611,2442,35.9,68.9,,,,,,,,,
21/05/2025,22:55:14,1457,2915,903,1416,1606,2449,35.9,69,,,,,,,,,
21/05/2025,22:55:03,1461,2911,901,1435,1601,2434,35.9,69,,,,,,,,,
21/05/2025,22:54:52,1458,2908,908,1425,1600,2429,35.9,69,,,,,,,,,
21/05/2025,22:54:41,1457,2911,903,1429,1599,2433,36,69.1,,,,,,,,,
